InvoiceNo,CustomerID,StockCode,Quantity,UnitPrice,InvoiceDate
1001,C001,P101,2,500,2024-01-05
1002,C002,P102,1,700,2024-01-10
1003,C003,P103,3,300,2024-01-15
1004,C001,P104,2,600,2024-02-08
1005,C002,P101,1,500,2024-02-15
1006,C004,P102,2,700,2024-02-18
1007,C003,P105,1,900,2024-03-05
1008,C001,P103,2,300,2024-03-12
1009,C005,P104,1,600,2024-03-20
1010,C002,P105,3,900,2024-04-02
1011,C004,P103,2,300,2024-04-15
1012,C003,P101,1,500,2024-04-22
1013,C001,P102,2,700,2024-05-05
1014,C005,P105,1,900,2024-05-18
1015,C006,P101,2,500,2024-05-25
1016,C002,P104,2,600,2024-06-04
1017,C003,P102,3,700,2024-06-11
1018,C006,P103,1,300,2024-06-20
1019,C001,P105,1,900,2024-07-01
1020,C005,P101,2,500,2024-07-10
1021,C002,P102,2,700,2024-08-08
1022,C003,P104,1,600,2024-08-19
1023,C006,P105,2,900,2024-09-05
1024,C001,P101,1,500,2024-09-20
1025,C005,P103,2,300,2024-10-02
1026,C002,P104,1,600,2024-10-14
1027,C003,P105,2,900,2024-11-07
1028,C006,P102,1,700,2024-11-19
1029,C001,P103,3,300,2024-12-03
1030,C005,P104,2,600,2024-12-15
