Country,State,Timestamp,SensorID,Latitude,Longitude,Temperature,QualityFlag
Australia,Victoria,2015-01-01,S1000,-7.3352,-59.8649,29.35,GOOD
Australia,Queensland,2015-01-02,S1001,-89.8598,177.1962,20.08,GOOD
India,Maharashtra,2015-01-03,S1002,-37.414,-48.1097,4.1,GOOD
USA,Texas,2015-01-04,S1003,16.6346,-163.2779,32.6,GOOD
Australia,New South Wales,2015-01-05,S1004,-68.0331,-1.7363,20.2,GOOD
Australia,New South Wales,2015-01-06,S1005,-33.892,7.2245,32.58,GOOD
USA,Texas,2015-01-07,S1006,12.6799,7.5003,7.57,GOOD
USA,California,2015-01-08,S1007,-25.7844,-78.8636,16.65,GOOD
India,Delhi,2015-01-09,S1008,-37.1721,-174.9313,,GOOD
Australia,Victoria,2015-01-10,S1009,76.7342,54.3877,20.89,GOOD
Australia,Victoria,2015-01-11,S1010,41.3291,49.5207,12.93,GOOD
Australia,New South Wales,2015-01-12,S1011,46.9413,22.0598,33.8,GOOD
Australia,Queensland,2015-01-13,S1012,-84.3427,49.1077,51.98,GOOD
India,Maharashtra,2015-01-14,S1013,-53.449,159.4273,17.64,GOOD
Australia,New South Wales,2015-01-15,S1014,-7.8238,-101.3614,30.64,GOOD
USA,Texas,2015-01-16,S1015,-32.7594,-140.3813,27.89,GOOD
India,Karnataka,2015-01-17,S1016,-14.866,-100.0412,35.19,GOOD
Australia,Queensland,2015-01-18,S1017,3.3823,73.0868,22.66,BAD
India,Maharashtra,2015-01-19,S1018,19.7216,0.9644,24.85,GOOD
USA,New York,2015-01-20,S1019,-63.9189,-3.797,11.61,BAD
USA,New York,2015-01-21,S1020,23.815,48.0707,34.14,GOOD
Australia,New South Wales,2015-01-22,S1021,-56.4267,-165.3209,31.02,GOOD
Australia,New South Wales,2015-01-23,S1022,-18.437,6.3905,32.1,GOOD
India,Karnataka,2015-01-24,S1023,67.9211,-87.141,29.84,GOOD
USA,California,2015-01-25,S1024,68.8745,-112.0654,11.32,BAD
India,Karnataka,2015-01-26,S1025,-17.1885,139.5972,25.95,GOOD
Australia,Victoria,2015-01-27,S1026,34.5411,54.7061,,GOOD
India,Delhi,2015-01-28,S1027,-24.0356,87.9014,,GOOD
Australia,Victoria,2015-01-29,S1028,16.1768,172.4014,28.34,GOOD
Australia,Queensland,2015-01-30,S1029,26.1186,60.8127,9.91,GOOD
India,Delhi,2015-01-31,S1030,89.0191,-10.82,24.96,GOOD
USA,California,2015-02-01,S1031,-30.4649,18.9954,12.43,GOOD
Australia,New South Wales,2015-02-02,S1032,-18.9555,123.9167,17.4,GOOD
Australia,Queensland,2015-02-03,S1033,-64.7849,6.5987,20.22,GOOD
USA,Texas,2015-02-04,S1034,55.685,111.6408,31.98,GOOD
India,Delhi,2015-02-05,S1035,-55.0307,-154.4613,33.53,GOOD
USA,Texas,2015-02-06,S1036,-83.5304,-12.3847,22.48,GOOD
Australia,Queensland,2015-02-07,S1037,-83.2773,116.1362,31.07,GOOD
USA,New York,2015-02-08,S1038,-74.6375,-161.3946,25.51,GOOD
USA,New York,2015-02-09,S1039,84.5166,77.2542,16.38,GOOD
Australia,Victoria,2015-02-10,S1040,-75.4429,-25.8068,14.54,GOOD
India,Delhi,2015-02-11,S1041,8.8608,77.2545,9.08,GOOD
India,Delhi,2015-02-12,S1042,-81.4111,23.7734,27.17,GOOD
Australia,Victoria,2015-02-13,S1043,-73.0517,-67.8912,42.96,GOOD
USA,California,2015-02-14,S1044,-11.9067,-36.5383,17.58,GOOD
USA,Texas,2015-02-15,S1045,22.6548,1.1291,24.52,GOOD
India,Delhi,2015-02-16,S1046,24.5526,108.3417,32.78,BAD
USA,New York,2015-02-17,S1047,79.4637,-41.0031,37.36,GOOD
India,Maharashtra,2015-02-18,S1048,21.2857,-58.8405,19.65,GOOD
USA,California,2015-02-19,S1049,-39.2661,-137.4607,18.06,GOOD
India,Maharashtra,2015-02-20,S1050,-58.0609,90.2213,32.2,GOOD
Australia,Victoria,2015-02-21,S1051,14.4979,132.162,27.46,GOOD
India,Delhi,2015-02-22,S1052,-0.619,-39.7375,34.15,GOOD
India,Karnataka,2015-02-23,S1053,62.4858,-52.2341,31.86,GOOD
USA,New York,2015-02-24,S1054,-30.8404,62.1066,25.78,GOOD
India,Karnataka,2015-02-25,S1055,85.3647,178.5352,29.76,GOOD
USA,California,2015-02-26,S1056,60.6535,132.0727,27.6,BAD
USA,New York,2015-02-27,S1057,70.5414,-127.2223,38.4,GOOD
India,Delhi,2015-02-28,S1058,73.3849,33.0799,28.56,GOOD
USA,New York,2015-03-01,S1059,-45.2297,-61.1091,13.31,GOOD
USA,New York,2015-03-02,S1060,58.1023,87.9162,20.41,GOOD
Australia,Victoria,2015-03-03,S1061,-75.0796,10.2132,13.06,GOOD
India,Maharashtra,2015-03-04,S1062,-44.4618,70.348,9.83,BAD
India,Maharashtra,2015-03-05,S1063,89.2496,70.893,29.79,GOOD
Australia,New South Wales,2015-03-06,S1064,-26.3966,30.1162,42.52,GOOD
India,Delhi,2015-03-07,S1065,-39.6426,-31.9656,18.53,GOOD
India,Delhi,2015-03-08,S1066,67.7991,18.5716,24.02,BAD
India,Karnataka,2015-03-09,S1067,87.3515,-44.374,30.19,GOOD
USA,New York,2015-03-10,S1068,-65.9066,-175.0781,34.23,GOOD
Australia,Queensland,2015-03-11,S1069,74.3698,30.6538,22.0,GOOD
India,Delhi,2015-03-12,S1070,-40.5483,-105.398,19.85,GOOD
India,Delhi,2015-03-13,S1071,-86.0067,-0.6605,35.85,GOOD
USA,Texas,2015-03-14,S1072,52.5272,32.3841,20.86,BAD
Australia,New South Wales,2015-03-15,S1073,54.908,145.1344,32.14,GOOD
USA,Texas,2015-03-16,S1074,8.5403,-17.6722,37.88,GOOD
Australia,Queensland,2015-03-17,S1075,-63.5268,153.5715,35.19,GOOD
USA,California,2015-03-18,S1076,24.0122,-93.5476,22.75,GOOD
Australia,New South Wales,2015-03-19,S1077,-65.0111,50.7149,11.68,GOOD
India,Karnataka,2015-03-20,S1078,57.9223,-55.7703,25.35,GOOD
USA,California,2015-03-21,S1079,-25.9215,141.9182,33.59,GOOD
India,Maharashtra,2015-03-22,S1080,2.0983,-123.488,15.25,GOOD
India,Delhi,2015-03-23,S1081,-56.7862,-104.6342,15.72,GOOD
Australia,Queensland,2015-03-24,S1082,-63.407,-132.0779,31.15,GOOD
Australia,New South Wales,2015-03-25,S1083,66.0987,-52.5072,18.76,GOOD
Australia,New South Wales,2015-03-26,S1084,-73.9432,12.7208,27.35,GOOD
India,Delhi,2015-03-27,S1085,26.7881,-7.3504,21.09,GOOD
Australia,Queensland,2015-03-28,S1086,-24.6452,52.5302,37.18,GOOD
USA,New York,2015-03-29,S1087,-47.2992,-143.3583,29.31,BAD
USA,Texas,2015-03-30,S1088,71.4178,-151.1159,19.79,GOOD
Australia,New South Wales,2015-03-31,S1089,-18.386,169.0094,21.1,BAD
Australia,Queensland,2015-04-01,S1090,6.3066,-8.417,24.93,GOOD
India,Delhi,2015-04-02,S1091,1.3699,-92.7325,28.61,GOOD
Australia,Victoria,2015-04-03,S1092,5.8661,-161.3435,12.81,GOOD
USA,Texas,2015-04-04,S1093,33.2229,-148.3675,31.38,GOOD
Australia,Victoria,2015-04-05,S1094,44.2754,-32.9334,44.12,GOOD
